datetime,I_static_A,I_dynamic_A,rho_eff_Km_W,dryout
2023-01-01T00:00,840.4566294719879,564.0324771485439,3.3333333333333335,1
2023-01-01T01:00,839.95858105523,563.6982356512517,3.3333333333333335,1
2023-01-01T02:00,842.4458787149532,565.367467127599,3.3333333333333335,1
2023-01-01T03:00,842.942457525369,565.7007223685199,3.3333333333333335,1
2023-01-01T04:00,842.942457525369,565.7007223685199,3.3333333333333335,1
2023-01-01T05:00,843.9347385723057,566.3666445795005,3.3333333333333335,1
2023-01-01T06:00,843.9347385723057,566.3666445795005,3.3333333333333335,1
2023-01-01T07:00,845.4209764220442,567.3640623957496,3.3333333333333335,1
2023-01-01T08:00,843.4387439725587,566.0337814037725,3.3333333333333335,1
2023-01-01T09:00,839.4602371483813,563.3637958498447,3.3333333333333335,1
2023-01-01T10:00,832.9546350173771,558.9978705223256,3.3333333333333335,1
2023-01-01T11:00,830.4389100478359,557.3095614095921,3.3333333333333335,1
2023-01-01T12:00,827.9155407684673,555.6161221820415,3.3333333333333335,1
2023-01-01T13:00,826.3978208106837,554.5975766469265,3.3333333333333335,1
2023-01-01T14:00,826.3978208106837,554.5975766469265,3.3333333333333335,1
2023-01-01T15:00,825.3844570686132,553.9175057882416,3.3333333333333335,1
2023-01-01T16:00,825.3844570686132,553.9175057882416,3.3333333333333335,1
2023-01-01T17:00,828.9258102605692,556.2941164820875,3.3333333333333335,1
2023-01-01T18:00,832.9546350173771,558.9978705223256,3.3333333333333335,1
2023-01-01T19:00,834.4604295005415,560.0084128425752,3.3333333333333335,1
2023-01-01T20:00,829.430483555578,556.6328039511998,3.3333333333333335,1
2023-01-01T21:00,829.9348499649468,556.9712854686168,3.3333333333333335,1
2023-01-01T22:00,831.9492579038304,558.3231595093629,3.3333333333333335,1
2023-01-01T23:00,832.452098238591,558.6606168744187,3.3333333333333335,1
2023-01-02T00:00,832.9546350173771,558.9978705223256,3.3333333333333335,1
2023-01-02T01:00,834.9617575298446,560.34485529578,3.3333333333333335,1
2023-01-02T02:00,834.9617575298446,560.34485529578,3.3333333333333335,1
2023-01-02T03:00,835.4627847321663,560.6810958632699,3.3333333333333335,1
2023-01-02T04:00,836.463938817821,561.3529727919986,3.3333333333333335,1
2023-01-02T05:00,837.9634272138136,562.3592830818924,3.3333333333333335,1
2023-01-02T06:00,839.95858105523,563.6982356512517,3.3333333333333335,1
2023-01-02T07:00,840.9543829236595,564.3665206940532,3.3333333333333335,1
2023-01-02T08:00,838.9615972248776,563.0291573909445,3.3333333333333335,1
2023-01-02T09:00,836.9640667780919,561.6886098759729,3.3333333333333335,1
2023-01-02T10:00,834.4604295005415,560.0084128425752,3.3333333333333335,1
2023-01-02T11:00,827.4099434445084,555.2768145948655,3.3333333333333335,1
2023-01-02T12:00,821.3184990548177,551.1888315294118,3.3333333333333335,1
2023-01-02T13:00,816.7201011814079,548.1028355927941,3.3333333333333335,1
2023-01-02T14:00,815.1815376150718,547.0703018615577,3.3333333333333335,1
2023-01-02T15:00,813.6400646865762,546.0358156503383,3.3333333333333335,1
2023-01-02T16:00,815.1815376150718,547.0703018615577,3.3333333333333335,1
2023-01-02T17:00,819.2779530472326,549.8194161675306,3.3333333333333335,1
2023-01-02T18:00,833.4568687892797,559.3349208215799,3.3333333333333335,1
2023-01-02T19:00,838.9615972248776,563.0291573909445,3.3333333333333335,1
2023-01-02T20:00,836.463938817821,561.3529727919986,3.3333333333333335,1
2023-01-02T21:00,833.9588001017373,559.671768139569,3.3333333333333335,1
2023-01-02T22:00,834.4604295005415,560.0084128425752,3.3333333333333335,1
2023-01-02T23:00,834.9617575298446,560.34485529578,3.3333333333333335,1
2023-01-03T00:00,837.46389606527,562.024046519712,3.3333333333333335,1
2023-01-03T01:00,840.4566294719879,564.0324771485439,3.3333333333333335,1
2023-01-03T02:00,851.8313759956765,571.6660970567162,3.3333333333333335,1
2023-01-03T03:00,854.28410602456,573.3121301123861,3.3333333333333335,1
2023-01-03T04:00,857.2181184603919,575.2811529556072,3.3333333333333335,1
2023-01-03T05:00,857.7061447558094,575.6086685830238,3.3333333333333335,1
2023-01-03T06:00,859.655479417347,576.9168717899273,3.3333333333333335,1
2023-01-03T07:00,864.025402698415,579.849537874932,3.3333333333333335,1
2023-01-03T08:00,858.1938935269653,575.935997963237,3.3333333333333335,1
2023-01-03T09:00,848.8787453577186,569.68457949301,3.3333333333333335,1
2023-01-03T10:00,839.95858105523,563.6982356512517,3.3333333333333335,1
2023-01-03T11:00,830.4389100478359,557.3095614095921,3.3333333333333335,1
2023-01-03T12:00,822.8455877593044,552.2136644531028,3.3333333333333335,1
2023-01-03T13:00,817.7442020240601,548.7901121456532,3.3333333333333335,1
2023-01-03T14:00,815.6947145860217,547.414696168165,3.3333333333333335,1
2023-01-03T15:00,815.1815376150718,547.0703018615577,3.3333333333333335,1
2023-01-03T16:00,815.1815376150718,547.0703018615577,3.3333333333333335,1
2023-01-03T17:00,817.7442020240601,548.7901121456532,3.3333333333333335,1
2023-01-03T18:00,820.298860549898,550.5045496621997,3.3333333333333335,1
2023-01-03T19:00,835.9635116484001,561.0171349080399,3.3333333333333335,1
2023-01-03T20:00,839.4602371483813,563.3637958498447,3.3333333333333335,1
2023-01-03T21:00,841.9490070240066,565.0340153338453,3.3333333333333335,1
2023-01-03T22:00,848.3856411944957,569.3536560962256,3.3333333333333335,1
2023-01-03T23:00,847.3985720514272,568.6912316065388,3.3333333333333335,1
2023-01-04T00:00,846.9046060682981,568.3597298403305,3.3333333333333335,1
2023-01-04T01:00,849.3715632484957,570.0153107716636,3.3333333333333335,1
2023-01-04T02:00,853.3038600264175,572.6542846517648,3.3333333333333335,1
2023-01-04T03:00,853.3038600264175,572.6542846517648,3.3333333333333335,1
2023-01-04T04:00,852.3224866597069,571.9956826113703,3.3333333333333335,1
2023-01-04T05:00,853.3038600264175,572.6542846517648,3.3333333333333335,1
2023-01-04T06:00,854.7738074726439,573.6407699388094,3.3333333333333335,1
2023-01-04T07:00,857.2181184603919,575.2811529556072,3.3333333333333335,1
2023-01-04T08:00,851.8313759956765,571.6660970567162,3.3333333333333335,1
2023-01-04T09:00,842.942457525369,565.7007223685199,3.3333333333333335,1
2023-01-04T10:00,832.9546350173771,558.9978705223256,3.3333333333333335,1
2023-01-04T11:00,823.3539879238176,552.5548530333549,3.3333333333333335,1
2023-01-04T12:00,815.6947145860217,547.414696168165,3.3333333333333335,1
2023-01-04T13:00,811.064432821266,544.3073028749362,3.3333333333333335,1
2023-01-04T14:00,807.4447456278294,541.8781220432026,3.3333333333333335,1
2023-01-04T15:00,806.407565051192,541.1820676492255,3.3333333333333335,1
2023-01-04T16:00,807.4447456278294,541.8781220432026,3.3333333333333335,1
2023-01-04T17:00,815.1815376150718,547.0703018615577,3.3333333333333335,1
2023-01-04T18:00,826.9040369811637,554.9372995435,3.3333333333333335,1
2023-01-04T19:00,834.4604295005415,560.0084128425752,3.3333333333333335,1
2023-01-04T20:00,830.4389100478359,557.3095614095921,3.3333333333333335,1
2023-01-04T21:00,822.8455877593044,552.2136644531028,3.3333333333333335,1
2023-01-04T22:00,824.3698476413676,553.2365989472222,3.3333333333333335,1
2023-01-04T23:00,824.877308352794,553.5771570582352,3.3333333333333335,1
2023-01-05T00:00,826.3978208106837,554.5975766469265,3.3333333333333335,1
2023-01-05T01:00,828.9258102605692,556.2941164820875,3.3333333333333335,1
2023-01-05T02:00,828.420829519057,555.955222684883,3.3333333333333335,1
2023-01-05T03:00,829.430483555578,556.6328039511998,3.3333333333333335,1
2023-01-05T04:00,831.446113462343,557.9854980575471,3.3333333333333335,1
2023-01-05T05:00,831.446113462343,557.9854980575471,3.3333333333333335,1
2023-01-05T06:00,831.9492579038304,558.3231595093629,3.3333333333333335,1
2023-01-05T07:00,831.9492579038304,558.3231595093629,3.3333333333333335,1
2023-01-05T08:00,831.446113462343,557.9854980575471,3.3333333333333335,1
2023-01-05T09:00,826.3978208106837,554.5975766469265,3.3333333333333335,1
2023-01-05T10:00,820.808838131364,550.8467968507848,3.3333333333333335,1
2023-01-05T11:00,815.1815376150718,547.0703018615577,3.3333333333333335,1
2023-01-05T12:00,811.5802131168433,544.6534442789986,3.3333333333333335,1
2023-01-05T13:00,805.8884741927345,540.8337045184057,3.3333333333333335,1
2023-01-05T14:00,802.7668802498647,538.7387952720419,3.3333333333333335,1
2023-01-05T15:00,803.2879883088004,539.0885121509821,3.3333333333333335,1
2023-01-05T16:00,805.8884741927345,540.8337045184057,3.3333333333333335,1
2023-01-05T17:00,808.9980232653766,542.9205304232227,3.3333333333333335,1
2023-01-05T18:00,813.6400646865762,546.0358156503383,3.3333333333333335,1
2023-01-05T19:00,817.7442020240601,548.7901121456532,3.3333333333333335,1
2023-01-05T20:00,822.3368732823892,551.8722649370371,3.3333333333333335,1
2023-01-05T21:00,822.8455877593044,552.2136644531028,3.3333333333333335,1
2023-01-05T22:00,825.3844570686132,553.9175057882416,3.3333333333333335,1
2023-01-05T23:00,828.420829519057,555.955222684883,3.3333333333333335,1
2023-01-06T00:00,837.46389606527,562.024046519712,3.3333333333333335,1
2023-01-06T01:00,843.9347385723057,566.3666445795005,3.3333333333333335,1
2023-01-06T02:00,846.9046060682981,568.3597298403305,3.3333333333333335,1
2023-01-06T03:00,848.3856411944957,569.3536560962256,3.3333333333333335,1
2023-01-06T04:00,850.3563422033088,570.676198310472,3.3333333333333335,1
2023-01-06T05:00,854.7738074726439,573.6407699388094,3.3333333333333335,1
2023-01-06T06:00,855.7523696791485,574.2974854027894,3.3333333333333335,1
2023-01-06T07:00,858.1938935269653,575.935997963237,3.3333333333333335,1
2023-01-06T08:00,849.3715632484957,570.0153107716636,3.3333333333333335,1
2023-01-06T09:00,839.4602371483813,563.3637958498447,3.3333333333333335,1
2023-01-06T10:00,827.4099434445084,555.2768145948655,3.3333333333333335,1
2023-01-06T11:00,813.6400646865762,546.0358156503383,3.3333333333333335,1
2023-01-06T12:00,802.2454336990656,538.3888512303934,3.3333333333333335,1
